175_0	1	0
175_1	1	0
175_2	1	0
175_3	1	0
175_4	1	0
175_5	1	0
260_0	196718	84000
260_1	196877	88559
260_2	196718	0
260_3	196718	0
260_4	196718	84000
260_5	196877	88559
482_0	1	0
482_10	1	0
482_11	1	0
482_12	1	0
482_13	1	0
482_14	1	0
482_15	1	0
482_16	1	0
482_17	1	0
482_18	1	0
482_19	1	0
482_1	1	0
482_20	1	0
482_21	1	0
482_22	1	0
482_23	1	0
482_24	1	0
482_25	1	0
482_26	1	0
482_27	1	0
482_28	1	0
482_29	1	0
482_2	1	0
482_30	1	0
482_31	1	0
482_32	1	0
482_33	1	0
482_34	1	0
482_35	1	0
482_36	1	0
482_37	1	0
482_38	1	0
482_39	1	0
482_3	1	0
482_40	1	0
482_41	1	0
482_42	1	0
482_43	1	0
482_44	1	0
482_45	1	0
482_46	1	0
482_47	1	0
482_48	1	0
482_49	1	0
482_4	1	0
482_50	1	0
482_51	1	0
482_52	1	0
482_53	1	0
482_54	1	0
482_55	1	0
482_56	1	0
482_57	1	0
482_58	1	0
482_59	1	0
482_5	1	0
482_60	1	0
482_61	1	0
482_6	1	0
482_7	1	0
482_8	1	0
482_9	1	0
483_0	1	0
483_10	1	0
483_11	1	0
483_12	1	0
483_13	1	0
483_14	1	0
483_15	1	0
483_16	1	0
483_17	1	0
483_18	1	0
483_19	1	0
483_1	1	0
483_20	1	0
483_21	1	0
483_22	1	0
483_23	1	0
483_24	1	0
483_25	1	0
483_26	1	0
483_27	1	0
483_28	1	0
483_29	1	0
483_2	1	0
483_30	1	0
483_31	1	0
483_32	1	0
483_33	1	0
483_34	1	0
483_35	1	0
483_36	1	0
483_37	1	0
483_38	1	0
483_39	1	0
483_3	1	0
483_40	1	0
483_41	1	0
483_42	1	0
483_43	1	0
483_44	1	0
483_45	1	0
483_46	1	0
483_47	1	0
483_48	1	0
483_49	1	0
483_4	1	0
483_50	1	0
483_51	1	0
483_52	1	0
483_53	1	0
483_54	1	0
483_55	1	0
483_56	1	0
483_57	1	0
483_58	1	0
483_59	1	0
483_5	1	0
483_60	1	0
483_61	1	0
483_6	1	0
483_7	1	0
483_8	1	0
483_9	1	0
487_0	38018	0
487_10	37969	493
487_11	38018	1478
487_12	38018	0
487_13	37988	307
487_14	37969	493
487_15	38018	1478
487_16	38018	998
487_17	38008	577
487_18	37988	307
487_19	37969	493
487_1	38018	0
487_20	37927	380
487_21	38018	1478
487_22	38018	0
487_23	37988	307
487_24	37969	493
487_25	38018	1478
487_26	38018	998
487_27	38008	577
487_28	37988	307
487_29	37969	493
487_2	38018	1478
487_30	37927	454
487_31	38018	1478
487_32	38018	998
487_33	38008	577
487_34	37988	307
487_35	37969	493
487_36	37927	454
487_37	38018	998
487_38	38008	577
487_39	38018	0
487_3	38018	0
487_40	37927	454
487_41	38018	1249
487_42	38018	998
487_43	38008	577
487_44	37988	307
487_45	37969	493
487_46	37927	454
487_47	38018	998
487_48	38008	577
487_49	38018	0
487_4	37988	147
487_50	37927	454
487_51	38018	998
487_52	38008	577
487_53	38018	0
487_54	37927	454
487_55	38018	0
487_56	38018	496
487_57	38008	269
487_58	38018	0
487_59	37927	454
487_5	37969	231
487_60	38018	0
487_61	38018	0
487_6	38018	0
487_7	38018	1478
487_8	38018	0
487_9	37988	307
488_0	10926	0
488_10	10920	70
488_11	10926	132
488_12	10926	0
488_13	10926	0
488_14	10920	70
488_15	10926	132
488_16	10926	132
488_17	10926	0
488_18	10926	0
488_19	10920	70
488_1	10926	0
488_20	10920	56
488_21	10926	132
488_22	10926	0
488_23	10926	0
488_24	10920	70
488_25	10926	132
488_26	10926	132
488_27	10926	0
488_28	10926	0
488_29	10920	70
488_2	10926	132
488_30	10920	70
488_31	10926	132
