airplane-single-nl_1_7  4213    1050
airplane-single-nl_1_8  4213    1190
airplane-single-nl_1_9  4213    1190
apex_0_0_unsat_0    23  2
apex_0_0_unsat_10   23  19
apex_0_0_unsat_11   23  21
apex_0_0_unsat_12   23  22
apex_0_0_unsat_13   23  22
apex_0_0_unsat_1    23  4
apex_0_0_unsat_2    23  6
apex_0_0_unsat_3    23  8
apex_0_0_unsat_4    23  9
apex_0_0_unsat_5    23  11
apex_0_0_unsat_6    23  13
apex_0_0_unsat_7    23  15
apex_0_0_unsat_8    23  17
apex_0_0_unsat_9    23  18
bouncing_ball_with_drag_20_0_0  857 1
bouncing_ball_with_drag_20_0_100    857 16
bouncing_ball_with_drag_20_0_101    857 16
bouncing_ball_with_drag_20_0_102    857 16
bouncing_ball_with_drag_20_0_103    857 15
bouncing_ball_with_drag_20_0_104    857 16
bouncing_ball_with_drag_20_0_105    857 16
bouncing_ball_with_drag_20_0_106    857 17
bouncing_ball_with_drag_20_0_107    857 17
bouncing_ball_with_drag_20_0_108    857 17
bouncing_ball_with_drag_20_0_109    857 17
bouncing_ball_with_drag_20_0_10 857 6
bouncing_ball_with_drag_20_0_110    857 17
bouncing_ball_with_drag_20_0_111    857 16
bouncing_ball_with_drag_20_0_112    857 16
bouncing_ball_with_drag_20_0_113    857 16
bouncing_ball_with_drag_20_0_114    857 18
bouncing_ball_with_drag_20_0_115    857 18
bouncing_ball_with_drag_20_0_116    857 18
bouncing_ball_with_drag_20_0_117    857 18
bouncing_ball_with_drag_20_0_118    857 18
bouncing_ball_with_drag_20_0_119    857 17
bouncing_ball_with_drag_20_0_11 857 6
bouncing_ball_with_drag_20_0_120    857 18
bouncing_ball_with_drag_20_0_121    857 18
bouncing_ball_with_drag_20_0_122    857 19
bouncing_ball_with_drag_20_0_123    857 19
bouncing_ball_with_drag_20_0_124    857 19
bouncing_ball_with_drag_20_0_125    857 19
bouncing_ball_with_drag_20_0_126    857 19
bouncing_ball_with_drag_20_0_127    857 18
bouncing_ball_with_drag_20_0_128    857 18
bouncing_ball_with_drag_20_0_129    857 18
bouncing_ball_with_drag_20_0_12 857 6
bouncing_ball_with_drag_20_0_130    857 20
bouncing_ball_with_drag_20_0_131    857 20
bouncing_ball_with_drag_20_0_132    857 20
bouncing_ball_with_drag_20_0_133    857 20
bouncing_ball_with_drag_20_0_134    857 20
bouncing_ball_with_drag_20_0_135    857 19
bouncing_ball_with_drag_20_0_136    857 20
bouncing_ball_with_drag_20_0_137    857 20
bouncing_ball_with_drag_20_0_138    857 23
bouncing_ball_with_drag_20_0_139    857 23
bouncing_ball_with_drag_20_0_13 857 6
bouncing_ball_with_drag_20_0_140    857 23
bouncing_ball_with_drag_20_0_141    857 23
bouncing_ball_with_drag_20_0_142    857 23
bouncing_ball_with_drag_20_0_143    857 22
bouncing_ball_with_drag_20_0_144    857 22
bouncing_ball_with_drag_20_0_145    857 21
bouncing_ball_with_drag_20_0_146    857 27
bouncing_ball_with_drag_20_0_147    857 27
bouncing_ball_with_drag_20_0_148    857 27
bouncing_ball_with_drag_20_0_149    857 27
bouncing_ball_with_drag_20_0_14 857 6
bouncing_ball_with_drag_20_0_150    857 27
bouncing_ball_with_drag_20_0_151    857 26
bouncing_ball_with_drag_20_0_152    857 26
bouncing_ball_with_drag_20_0_153    857 26
bouncing_ball_with_drag_20_0_154    857 29
bouncing_ball_with_drag_20_0_155    857 29
bouncing_ball_with_drag_20_0_156    857 29
bouncing_ball_with_drag_20_0_157    857 29
bouncing_ball_with_drag_20_0_158    857 29
bouncing_ball_with_drag_20_0_159    857 28
bouncing_ball_with_drag_20_0_15 857 5
bouncing_ball_with_drag_20_0_160    857 28
bouncing_ball_with_drag_20_0_161    857 27
bouncing_ball_with_drag_20_0_16 857 5
bouncing_ball_with_drag_20_0_17 857 5
bouncing_ball_with_drag_20_0_18 857 6
bouncing_ball_with_drag_20_0_19 857 6
bouncing_ball_with_drag_20_0_1  857 1
bouncing_ball_with_drag_20_0_20 857 6
bouncing_ball_with_drag_20_0_21 857 6
bouncing_ball_with_drag_20_0_22 857 6
bouncing_ball_with_drag_20_0_23 857 5
bouncing_ball_with_drag_20_0_24 857 6
bouncing_ball_with_drag_20_0_25 857 6
bouncing_ball_with_drag_20_0_26 857 7
bouncing_ball_with_drag_20_0_27 857 7
bouncing_ball_with_drag_20_0_28 857 7
bouncing_ball_with_drag_20_0_29 857 7
bouncing_ball_with_drag_20_0_2  857 5
bouncing_ball_with_drag_20_0_30 857 7
bouncing_ball_with_drag_20_0_31 857 6
bouncing_ball_with_drag_20_0_32 857 6
bouncing_ball_with_drag_20_0_33 857 6
bouncing_ball_with_drag_20_0_34 857 8
bouncing_ball_with_drag_20_0_35 857 8
bouncing_ball_with_drag_20_0_36 857 8
bouncing_ball_with_drag_20_0_37 857 8
bouncing_ball_with_drag_20_0_38 857 8
bouncing_ball_with_drag_20_0_39 857 7
bouncing_ball_with_drag_20_0_3  857 5
bouncing_ball_with_drag_20_0_40 857 8
bouncing_ball_with_drag_20_0_41 857 8
bouncing_ball_with_drag_20_0_42 857 9
bouncing_ball_with_drag_20_0_43 857 9
bouncing_ball_with_drag_20_0_44 857 9
bouncing_ball_with_drag_20_0_45 857 9
bouncing_ball_with_drag_20_0_46 857 9
bouncing_ball_with_drag_20_0_47 857 8
bouncing_ball_with_drag_20_0_48 857 8
bouncing_ball_with_drag_20_0_49 857 8
bouncing_ball_with_drag_20_0_4  857 5
bouncing_ball_with_drag_20_0_50 857 10
